STATE/UT,YEAR,0-3 hrs. (Night),3-6 hrs. (Night),6-9 hrs (Day),9-12 hrs (Day),12-15 hrs (Day),15-18 hrs (Day),18-21 hrs (Night),21-24 hrs (Night),Total
Punjab,2001,167,185,219,271,233,252,285,196,1808
Punjab,2002,163,170,185,197,191,196,205,201,1508
Punjab,2003,140,199,207,221,167,202,247,220,1603
Punjab,2004,189,248,250,270,222,273,333,251,2036
Punjab,2005,200,262,264,285,235,289,352,265,2152
Punjab,2006,209,164,278,360,264,325,404,247,2251
Punjab,2007,192,217,329,361,291,324,408,269,2391
Punjab,2008,181,267,344,337,256,322,436,251,2394
Punjab,2009,197,282,394,369,298,385,489,270,2684
Punjab,2010,205,280,347,380,255,327,418,227,2439
Punjab,2011,379,582,896,979,861,922,1266,611,6496
Punjab,2012,349,537,824,887,866,1089,1091,685,6328
Punjab,2013,368,575,722,840,816,980,1309,713,6323
Punjab,2014,387,392,683,842,943,998,1380,766,6391
Rajasthan,2001,1390,2344,2880,2895,3024,3170,2690,1606,19999
Rajasthan,2002,1419,1996,2657,3190,2906,3372,3087,1944,20571
Rajasthan,2003,1359,1768,3264,3709,3236,3615,3013,1969,21933
Rajasthan,2004,1263,1841,3134,3808,3282,3999,3818,2098,23243
Rajasthan,2005,1271,1895,3243,3645,3559,3792,3721,1989,23115
Rajasthan,2006,1171,1634,2874,3814,3795,4159,3948,1953,23348
Rajasthan,2007,1359,1735,3078,4064,3672,3658,3698,2621,23885
Rajasthan,2008,1399,1654,3048,3670,3630,3875,3775,2653,23704
Rajasthan,2009,1426,1825,2933,3666,3908,4291,4389,2676,25114
Rajasthan,2010,1558,1869,2862,3391,3793,4335,4133,2361,24302
Rajasthan,2011,1358,2152,2576,3216,3693,4125,3913,2212,23245
Rajasthan,2012,1094,1729,2589,3434,3709,4191,3912,2311,22969
Rajasthan,2013,1061,1519,2638,3867,3863,4281,4143,2214,23586
Rajasthan,2014,1128,1428,2622,3706,4234,4841,4215,2465,24639
Sikkim,2001,0,2,11,8,15,6,10,3,55
Sikkim,2002,0,0,169,0,126,0,56,0,351
Sikkim,2003,0,0,14,24,14,35,37,7,131
Sikkim,2004,0,12,18,24,34,31,33,7,159
Sikkim,2005,5,11,35,32,29,42,20,15,189
Sikkim,2006,1,5,6,3,8,8,5,3,39
Sikkim,2007,6,3,19,25,39,34,16,8,150
Sikkim,2008,6,19,26,34,46,30,22,13,196
Sikkim,2009,49,56,58,107,87,127,51,29,564
Sikkim,2010,6,10,18,38,19,28,28,39,186
Sikkim,2011,10,12,17,19,16,17,21,17,129
Sikkim,2012,0,18,12,20,8,11,27,27,123
Sikkim,2013,5,9,21,29,77,62,38,3,244
Sikkim,2014,6,8,15,17,12,27,29,16,130
Tamil Nadu,2001,4020,4672,7280,7775,7770,7887,7495,5079,51978
Tamil Nadu,2002,5060,4939,7072,7806,7269,8181,7530,5646,53503
Tamil Nadu,2003,4174,4805,6660,7648,6944,7809,7246,5739,51025
Tamil Nadu,2004,3857,4660,6556,8099,7545,8098,7791,5902,52508
Tamil Nadu,2005,6020,6545,8236,14568,11089,13789,8765,6468,75480
Tamil Nadu,2006,5180,6046,6784,7200,7241,7997,7896,6801,55145
Tamil Nadu,2007,5773,4850,5948,6938,8175,9777,9690,7966,59117
Tamil Nadu,2008,5898,4956,6078,7090,8354,9991,9902,8140,60409
Tamil Nadu,2009,4201,4520,7118,8662,8749,10262,6918,10364,60794
Tamil Nadu,2010,3376,5141,7896,9021,9526,10756,11881,7399,64996
Tamil Nadu,2011,3716,4915,7542,9319,9579,11485,11915,7402,65873
Tamil Nadu,2012,3199,4560,8241,9490,9806,11905,13020,7536,67757
Tamil Nadu,2013,2796,4047,7503,9515,10014,11761,13330,7272,66238
Tamil Nadu,2014,2685,4057,7973,9593,9955,11902,13927,7158,67250
Tripura,2001,4,8,79,198,106,119,22,8,544
Tripura,2002,0,0,84,164,82,122,113,59,624
Tripura,2003,1,1,99,174,152,163,73,13,676
Tripura,2004,0,10,112,159,106,130,88,40,645
