STATE/UT,YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL
Delhi (Ut),2013,590,553,613,589,635,612,644,593,622,687,703,728,7569
Delhi Ut,2014,643,698,801,632,661,658,624,744,742,687,720,700,8310
Goa,2001,124,115,111,108,131,95,95,101,108,117,122,148,1375
Goa,2002,99,100,95,113,105,74,65,95,102,113,121,119,1201
Goa,2003,173,151,151,121,166,113,99,121,116,146,166,155,1678
Goa,2004,148,127,122,130,143,104,104,120,121,120,139,164,1542
Goa,2005,93,75,88,100,100,80,64,81,79,84,110,115,1069
Goa,2006,341,323,314,300,408,268,263,272,291,303,307,359,3749
Goa,2007,365,362,332,375,392,299,245,274,335,320,353,370,4022
Goa,2008,396,350,384,354,400,309,276,326,305,340,339,400,4179
Goa,2009,389,351,370,327,370,306,279,302,324,323,371,458,4170
Goa,2010,472,411,392,393,422,307,294,346,334,381,388,434,4574
Goa,2011,486,400,370,369,421,353,307,331,312,373,395,444,4561
Goa,2012,428,317,343,332,393,328,309,357,346,339,391,405,4288
Goa,2013,418,372,380,336,361,300,291,327,376,346,376,410,4293
Goa,2014,433,359,349,349,367,354,322,324,285,312,354,422,4230
Gujarat,2001,1657,1600,1791,1744,1935,1566,1420,1533,1448,1602,1769,1743,19808
Gujarat,2002,1652,1529,1186,1446,1840,1723,1498,1515,1434,1616,1644,1657,18740
Gujarat,2003,1616,1457,1456,1395,1780,1499,1276,1439,1404,1620,1501,1659,18102
Gujarat,2004,1669,1580,1601,1606,1771,1493,1357,1119,1471,1476,1673,1662,18478
Gujarat,2005,1586,1575,1625,1583,1928,1559,1321,1342,1292,1477,1661,1592,18541
Gujarat,2006,1706,1557,1721,1703,1950,1512,1323,1172,1423,1575,1578,1724,18944
Gujarat,2007,1898,1743,1918,1959,2169,1806,1509,1505,1613,1732,1867,1714,21433
Gujarat,2008,1843,1878,1943,1969,2091,1782,1562,1461,1471,1722,1605,1700,21027
Gujarat,2009,1742,1603,1743,1628,1937,1640,1339,1594,1613,1752,1674,1836,20101
Gujarat,2010,1892,1716,1803,1717,2042,1730,1469,1310,1391,1639,1860,1929,20498
Gujarat,2011,2626,2601,2629,2447,3056,2558,2346,2212,2169,2617,2524,2414,30199
Gujarat,2012,2549,2483,2370,2400,2486,2313,2098,2076,1948,2153,2294,2097,27267
Gujarat,2013,2357,2189,2266,2189,2405,2142,1788,1821,1848,1931,2051,2048,25035
Gujarat,2014,2023,1978,2039,1846,2127,1988,1673,1633,1506,1817,1678,1844,22152
Haryana,2001,481,506,517,543,543,520,540,509,540,542,571,561,6373
Haryana,2002,513,524,595,593,583,641,586,596,559,657,615,625,7087
Haryana,2003,468,512,534,528,581,480,545,493,542,568,662,511,6424
Haryana,2004,591,657,658,629,633,673,669,659,655,685,692,707,7908
Haryana,2005,626,514,604,598,692,634,664,682,565,704,703,696,7682
Haryana,2006,792,736,854,855,876,858,823,861,847,939,878,943,10262
Haryana,2007,825,780,839,839,881,871,859,909,873,904,834,902,10316
Haryana,2008,911,869,1001,998,951,847,899,909,910,1052,939,955,11241
Haryana,2009,808,963,982,928,973,977,931,929,875,966,1080,1015,11427
Haryana,2010,883,897,1035,936,932,933,892,925,816,998,939,975,11161
Haryana,2011,830,896,891,818,899,869,842,829,874,978,911,916,10553
Haryana,2012,759,819,865,841,841,791,799,791,761,862,870,972,9971
Haryana,2013,819,711,891,861,920,799,888,784,847,959,1025,969,10473
Haryana,2014,892,881,963,911,939,906,955,916,871,891,962,956,11043
Himachal Pradesh,2001,137,131,164,156,184,207,201,167,195,227,176,165,2110
Himachal Pradesh,2002,135,138,183,176,230,241,216,220,189,176,184,193,2281
Himachal Pradesh,2003,149,145,159,160,205,207,259,239,234,189,217,196,2359
Himachal Pradesh,2004,173,183,191,207,225,231,226,208,239,230,214,188,2515
Himachal Pradesh,2005,162,143,185,166,213,241,203,261,214,218,215,180,2401
Himachal Pradesh,2006,161,161,215,229,240,209,203,193,199,224,183,199,2416
Himachal Pradesh,2007,181,167,183,207,222,227,246,220,256,256,222,195,2582
Himachal Pradesh,2008,166,132,135,179,151,174,178,166,157,210,169,165,1982
Himachal Pradesh,2009,213,252,233,236,283,299,285,257,250,272,263,235,3078
Himachal Pradesh,2010,216,205,239,253,278,310,275,257,256,246,297,245,3077
Himachal Pradesh,2011,222,215,261,245,269,283,267,249,253,272,281,282,3099
Himachal Pradesh,2012,214,191,256,243,254,274,236,270,233,219,292,217,2899
Himachal Pradesh,2013,209,202,216,254,266,234,263,235,276,273,276,277,2981
Himachal Pradesh,2014,246,191,260,234,289,295,292,329,272,302,313,302,3325
Jammu & Kashmir,2001,362,485,392,372,483,448,429,410,405,423,394,408,5011
Jammu & Kashmir,2002,336,363,427,462,452,500,544,496,425,495,453,420,5373
Jammu & Kashmir,2003,401,380,423,468,535,550,635,551,509,498,517,421,5888
Jammu & Kashmir,2004,439,463,509,503,489,588,657,559,512,531,526,505,6281
Jammu & Kashmir,2005,444,291,384,412,484,573,559,499,525,518,508,472,5669
Jammu & Kashmir,2006,332,387,467,474,516,520,541,501,448,495,455,473,5609
Jammu & Kashmir,2007,447,409,466,485,505,573,537,527,505,508,461,451,5874
Jammu & Kashmir,2008,404,376,459,486,475,537,502,306,415,535,498,433,5426
Jammu & Kashmir,2009,367,364,514,460,558,503,557,560,563,600,515,451,6012
Jammu & Kashmir,2010,452,408,553,535,539,539,552,498,470,527,576,493,6142
Jammu & Kashmir,2011,394,430,500,448,645,657,648,612,610,622,565,534,6665
Jammu & Kashmir,2012,413,460,531,533,601,631,706,590,555,557,597,463,6637
Jammu & Kashmir,2013,418,355,464,530,646,617,596,574,542,652,582,479,6455
Jammu & Kashmir,2014,414,415,424,433,506,594,563,515,415,544,517,438,5778
Jharkhand,2001,83,76,88,95,94,70,79,88,78,81,86,77,995
Jharkhand,2002,85,41,70,91,80,69,67,80,79,75,68,75,880
Jharkhand,2003,80,42,72,90,85,70,68,89,69,70,69,76,880
Jharkhand,2004,116,99,105,122,128,102,73,125,104,106,106,109,1295
Jharkhand,2005,228,179,295,253,325,236,220,201,165,193,232,212,2739
Jharkhand,2006,322,379,400,392,335,395,400,324,312,324,359,359,4301
Jharkhand,2007,429,368,398,393,513,412,310,320,311,363,312,375,4504
Jharkhand,2008,230,203,225,278,355,333,265,201,276,299,297,297,3259
Jharkhand,2009,327,342,457,360,478,427,372,340,327,354,374,378,4536
Jharkhand,2010,252,360,357,351,383,436,365,322,333,353,336,380,4228
Jharkhand,2011,323,326,338,364,408,356,316,279,287,297,316,291,3901
Jharkhand,2012,369,374,387,457,364,396,346,355,373,381,391,432,4625
Jharkhand,2013,449,423,440,427,550,429,440,391,352,406,428,426,5161
Jharkhand,2014,399,434,418,425,454,414,391,384,341,419,373,453,4905
Karnataka,2001,2706,2600,2704,2816,3215,2783,2656,2539,2437,2582,2744,3078,32860
Karnataka,2002,2885,2860,2906,2995,3415,2987,2812,2875,2815,2908,2954,3249,35661
Karnataka,2003,3063,2986,2947,2940,3456,3199,2999,2994,3001,3147,3304,3475,37511
Karnataka,2004,3389,3357,3358,3180,3329,3066,3040,2893,3093,3011,3309,3726,38751
Karnataka,2005,3457,3196,3566,3339,4075,3354,3151,3018,3184,3237,3177,3519,40273
Karnataka,2006,3618,3278,3766,3693,4132,3356,3361,3473,3519,3621,3508,3955,43280
Karnataka,2007,3801,3613,3932,4274,4440,3878,3629,3619,3499,3830,3709,4110,46334
Karnataka,2008,4092,3922,4203,4295,4236,3792,3634,3555,3424,3728,3540,3831,46252
Karnataka,2009,3743,3525,3898,3843,4212,3906,3501,3551,3527,3527,3787,4170,45190
Karnataka,2010,4013,3972,4212,4105,4538,3942,3648,3382,3431,3512,3733,3732,46220
Karnataka,2011,3936,3676,3775,3707,4309,3781,3577,3437,3451,3566,3603,3878,44696
Karnataka,2012,3906,3749,3715,3963,3871,3687,3375,3561,3460,3519,3613,4029,44448
Karnataka,2013,3507,3322,3437,3403,3732,3247,2964,2981,3013,3185,3267,3533,39591
Karnataka,2014,3915,3649,3805,3577,4053,3772,3421,3428,3254,3517,3442,3861,43694
Kerala,2001,3199,2935,2972,2912,2887,2829,2845,3012,3060,3048,3247,3493,36439
Kerala,2002,3072,2739,2643,3096,3113,2754,2731,2688,2835,2897,2908,3058,34534
Kerala,2003,2894,2485,2495,2570,2614,2526,2534,2569,2612,2852,2799,2997,31947
Kerala,2004,3661,3393,3477,3411,3239,3306,3164,3334,3399,3532,3425,3762,41103
Kerala,2005,3784,3435,3672,3594,3870,3410,3172,3452,3109,3467,3602,3728,42295
Kerala,2006,3901,3394,3711,3360,3600,3229,3139,3398,3384,3423,3516,3673,41728
Kerala,2007,3758,3459,3529,3481,3667,3145,2793,3107,2935,3207,3211,3569,39861
Kerala,2008,3433,3172,3121,3205,3210,2911,2904,2874,3077,3092,3034,3205,37238
Kerala,2009,3142,2933,3072,2877,3133,2967,2745,2851,2707,2910,2959,3161,35457
Kerala,2010,3221,2967,3180,3073,3149,2743,2641,2745,2861,2602,2897,3003,35082
Kerala,2011,3146,2929,3622,2805,3144,2767,2688,2787,2844,2476,2882,3126,35216
Kerala,2012,3262,3039,2960,2942,3159,2866,2848,2929,3025,2960,2991,3193,36174
Kerala,2013,3251,3023,3090,3113,3231,2712,2595,2772,2788,2728,2789,3123,35215
Kerala,2014,3332,2909,3005,2785,3162,2805,2834,2913,2911,2911,2963,3342,35872
Lakshadweep,2001,2,0,0,0,0,0,0,0,2,1,1,0,6
Lakshadweep,2002,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2003,0,0,0,0,0,0,0,0,0,0,1,0,1
Lakshadweep,2004,0,1,0,0,0,0,0,0,0,0,1,0,2
Lakshadweep,2005,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2006,0,0,0,0,0,0,1,0,0,0,0,0,1
Lakshadweep,2007,1,0,0,1,0,0,0,0,0,0,0,0,2
Lakshadweep,2008,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2009,1,0,0,0,0,0,0,0,0,0,0,0,1
Lakshadweep,2010,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2011,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2012,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2013,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,2014,0,0,0,0,0,0,0,0,0,1,0,0,1
Madhya Pradesh,2001,1726,1584,1764,1728,1980,1649,1428,1372,1544,1650,1711,1576,19712
Madhya Pradesh,2002,1873,1871,1921,1894,2278,1987,1776,1649,1656,1927,2088,1959,22879
Madhya Pradesh,2003,1927,1763,1891,1965,2191,2064,1779,1693,1644,1923,1886,1890,22616
Madhya Pradesh,2004,2104,2048,2002,2166,2100,1970,1868,1672,1856,2039,1882,1884,23591
Madhya Pradesh,2005,1768,1797,1830,1771,2271,1931,1601,1637,1553,1902,1749,1664,21474
Madhya Pradesh,2006,2180,1967,2144,2278,2516,2159,1929,1723,1859,2050,2211,2022,25038
Madhya Pradesh,2007,2490,2288,2409,2776,2690,2482,2114,2080,2161,2323,2384,2247,28444
Madhya Pradesh,2008,3037,2883,2917,3250,3126,2718,2699,3223,2564,2958,2449,2492,34316
Madhya Pradesh,2009,2851,2742,2723,2822,3119,2742,2449,2335,2510,2829,2549,2661,32332
Madhya Pradesh,2010,2503,2494,2435,2548,2890,2682,2428,2245,2226,2583,2635,2458,30127
Madhya Pradesh,2011,2892,2547,2722,2564,3111,2533,2370,2220,2128,2544,2526,2416,30573
Madhya Pradesh,2012,2618,2475,2413,2799,2841,2631,2146,1992,2103,2420,2522,2213,29173
Madhya Pradesh,2013,2959,2801,2953,2952,3778,3026,2535,2448,2587,2741,2621,2633,34034
Madhya Pradesh,2014,3375,3154,3470,3345,4107,3637,3104,2951,2946,3261,3288,3060,39698
Maharashtra,2001,3162,3015,3272,3332,3671,3179,2781,2755,2772,3024,3057,3249,37269
Maharashtra,2002,3424,3087,3506,3538,3970,3273,3036,2960,2881,3225,3197,3464,39561
Maharashtra,2003,3699,3373,3234,3430,3998,3584,3421,3537,3494,3774,3651,3827,43022
Maharashtra,2004,3928,3713,3677,3714,4289,3811,3430,3262,3474,3605,3693,3943,44539
Maharashtra,2005,4078,3694,3832,3877,4637,4126,3564,3410,3456,3794,3933,4185,46586
Maharashtra,2006,4062,3741,4129,4271,4881,4194,3705,3497,3705,4197,4084,4421,48887
Maharashtra,2007,4572,4318,4481,4795,5206,4400,3839,3850,3784,4090,4349,4291,51975
Maharashtra,2008,4376,4260,4479,4839,4726,4096,3738,3588,3560,3886,3854,4277,49679
Maharashtra,2009,4126,4024,4199,4373,4691,4097,3531,3737,3921,3916,3895,4355,48865
Maharashtra,2010,4383,4036,4314,4401,4861,4393,3925,3679,3938,4049,4226,4414,50619
Maharashtra,2011,4332,4052,4155,3928,4675,3976,3674,3439,3520,3511,3732,4126,47120
Maharashtra,2012,4110,3760,3896,4031,4071,3865,3539,3384,3374,3508,3523,4186,45247
Maharashtra,2013,4013,3689,3978,3798,4460,3653,3215,3081,3206,3304,3434,4032,43863
Maharashtra,2014,3978,3714,3920,3847,4258,3784,3546,3450,3298,3291,3478,3818,44382
Manipur,2001,39,31,40,48,40,14,21,26,38,41,31,41,410
Manipur,2002,51,49,44,37,41,36,50,42,42,49,39,40,520
Manipur,2003,43,40,48,43,42,44,49,48,36,44,45,41,523
Manipur,2004,34,43,41,42,40,42,20,37,36,30,45,58,468
Manipur,2005,55,57,58,48,50,45,45,38,51,47,51,55,600
Manipur,2006,50,45,51,44,44,26,36,37,35,43,61,49,521
Manipur,2007,47,46,57,51,44,42,35,31,44,44,38,59,538
Manipur,2008,56,41,39,39,34,46,32,31,45,48,42,49,502
Manipur,2009,40,54,51,41,39,39,58,37,45,58,57,59,578
Manipur,2010,74,46,49,46,41,30,44,37,54,57,62,62,602
Manipur,2011,64,66,62,63,52,58,55,54,52,50,59,56,691
Manipur,2012,67,70,64,69,57,72,62,60,58,64,58,70,771
Manipur,2013,59,46,57,58,45,46,39,40,63,67,67,84,671
Manipur,2014,61,59,66,59,62,49,49,53,73,72,59,73,735
Meghalaya,2001,11,15,13,20,12,11,15,12,9,21,12,10,161
Meghalaya,2002,31,26,43,40,39,31,28,33,43,56,51,44,465
Meghalaya,2003,33,31,31,31,34,37,33,32,26,27,29,29,373
Meghalaya,2004,22,21,29,24,31,21,27,30,32,43,28,20,328
Meghalaya,2005,38,30,38,18,27,26,23,25,25,33,17,30,330
Meghalaya,2006,16,10,17,10,14,16,10,21,15,18,13,16,176
Meghalaya,2007,19,19,13,13,12,10,13,9,18,5,15,11,157
Meghalaya,2008,13,9,21,25,24,16,11,18,12,12,15,15,191
Meghalaya,2009,28,24,36,24,37,23,19,23,18,25,19,38,314
Meghalaya,2010,23,22,31,24,20,23,20,20,20,14,19,21,257
Meghalaya,2011,24,25,33,18,20,20,30,22,12,25,13,19,261
Meghalaya,2012,33,31,28,38,30,31,29,61,22,25,14,13,355
Meghalaya,2013,20,24,20,14,20,21,16,9,11,14,13,12,194
Meghalaya,2014,30,27,20,25,27,28,29,24,26,22,19,24,301
Mizoram,2001,7,5,9,4,9,5,8,7,4,3,5,6,72
Mizoram,2002,6,0,4,9,3,2,2,4,3,0,2,6,41
Mizoram,2003,5,8,3,5,8,5,6,5,4,3,9,10,71
Mizoram,2004,6,0,4,8,3,2,2,2,3,0,2,6,38
Mizoram,2005,12,8,4,3,2,3,2,5,5,5,7,15,71
Mizoram,2006,11,4,7,6,6,5,2,6,3,3,9,10,72
Mizoram,2007,4,4,4,4,3,5,10,7,3,2,4,2,52
Mizoram,2008,6,7,8,7,6,9,8,5,5,6,12,8,87
Mizoram,2009,8,4,6,1,3,8,7,7,7,5,8,7,71
Mizoram,2010,14,18,20,8,13,9,6,6,9,6,8,8,125
Mizoram,2011,8,5,14,3,13,3,9,4,5,8,10,15,97
Mizoram,2012,7,10,7,6,8,2,20,4,12,13,6,15,110
Mizoram,2013,11,7,18,14,9,8,10,8,6,8,7,8,114
Mizoram,2014,10,6,15,10,11,4,10,5,6,3,7,8,95
Nagaland,2001,4,5,7,9,6,8,5,2,4,3,1,6,60
Nagaland,2002,5,1,1,3,3,4,2,1,3,2,2,7,34
Nagaland,2003,4,8,4,8,5,4,5,3,2,4,5,4,56
Nagaland,2004,7,8,5,7,0,3,12,6,3,7,6,4,68
Nagaland,2005,1,8,5,4,0,8,4,5,3,10,2,3,53
Nagaland,2006,7,6,8,7,6,9,6,6,5,5,4,8,77
Nagaland,2007,7,7,10,7,7,4,6,6,1,8,3,9,75
Nagaland,2008,8,10,12,8,10,13,16,3,10,10,12,14,126
Nagaland,2009,3,4,3,1,5,6,8,4,1,7,1,4,47
Nagaland,2010,10,10,2,1,2,6,1,5,2,3,1,1,44
